it_id	italian	nl_id	dutch	subject_omission	reflexive_construction	double_negation	diminutives_augmentatives	clitic_pronouns
4369	Devo andare a dormire.	5966	Ik moet gaan slapen.	True	False	False	False	False
4371	Che cos'è?	5970	Wat is dat?	False	False	False	False	False
4373	"La parola d'accesso è ""Muiriel""."	5985	"Het wachtwoord is ""Muiriel""."	False	False	False	False	False
4375	Non cambierà niente.	379556	Dat zal niets aan de zaak veranderen.	False	False	False	False	False
4376	Costerà trenta euro.	378907	Dat zal € 30,- kosten.	True	False	False	False	False
4377	Non ti preoccupare.	693105	Maak u niet ongerust.	False	True	False	False	True
4378	Mi manchi.	378752	Ik mis je.	False	False	False	False	False
4379	Sei sicuro?	378760	Weet je het zeker?	True	False	False	False	False
4380	E allora?	377785	Dus?	False	False	False	False	False
4381	Per farlo, bisogna correre dei rischi.	380104	Om dat te doen, moet je risico's nemen.	False	False	False	False	False
4382	Perché lo chiedi?	377844	Waarom vraag je dat?	False	False	False	False	True
4384	L'innocenza è una cosa bella.	380106	Onschuld is een schone zaak.	False	False	False	False	False
4385	Non è importante.	377476	Dat is niet belangrijk.	False	False	False	False	False
4386	Mi piacerebbe tanto andare in Giappone.	380116	Ik zou graag naar Japan kunnen gaan.	False	False	False	False	False
4387	Mi volevi parlare di libertà?	378735	Wilde je me over vrijheid vertellen?	False	False	False	False	False
4388	Salvo che qui non è così semplice.	380267	Behalve dan dat het hier niet zo eenvoudig is.	False	False	False	False	False
4389	Ti amo.	377937	Ik hou van je.	False	False	False	False	False
4389	Ti amo.	379030	Ik zie u graag.	False	False	False	False	False
4390	Congratulazioni!	378720	Gefeliciteerd.	False	False	False	False	False
4391	Neanch'io lo posso spiegare.	380287	Ik kan het ook niet verklaren.	False	False	False	False	True
4392	Non sei abbastanza veloce.	378721	Je bent niet snel genoeg.	False	False	False	False	False
4393	È un gioco di parole.	380444	Dat is een woordspeling.	True	False	False	False	False
4394	Non è possibile.	384166	Dat kan niet!	False	False	False	False	False
4395	"Chi è? ""È tua madre."""	390017	"Wie is het? ""Het is je moeder."""	False	False	False	False	False
4396	Ti prego, non piangere.	377394	Niet huilen alsjeblieft.	False	False	False	False	False
4397	"Come si scrive ""pretty""?"	377845	"Hoe schrijf je ""pretty""?"	False	True	False	False	False
4398	Sei un angelo!	584220	Je bent een engel!	True	False	False	False	False
4402	La matematica è come l'amore - un'idea semplice, che però può diventare complicata.	783444	Wiskunde is als liefhebben - een eenvoudig idee, dat toch ingewikkeld kan worden.	False	False	False	False	False
4403	Le sole risposte utili sono quelle che propongono nuove domande.	378765	De enige nuttige antwoorden zijn die antwoorden die nieuwe vragen oproepen.	False	False	False	False	False
4404	Dubitare di sé stessi è il primo segno di intelligenza.	378792	Aan zichzelf twijfelen is het eerste teken van intelligentie.	True	False	False	False	False
4405	Parli italiano?	399603	Spreek je Italiaans?	True	False	False	False	False
4406	Non posso vivere senza TV.	450318	Zonder tv kan ik niet leven.	False	False	False	False	False
4408	Non riusciamo a dormire dal rumore.	377814	We kunnen niet slapen vanwege het lawaai.	False	False	False	False	False
4409	Hai un preservativo?	377846	Heb je een condoom?	True	False	False	False	False
4411	Sorprendersi, stupirsi, è cominciare a capire.	382076	Verbaasd zijn, zich verwonderen, is beginnen te begrijpen.	True	False	False	False	False
4412	Non c'è dubbio che il tutto è infinito.	382077	Er is geen twijfel aan dat het heelal oneindig is.	False	False	False	False	False
4415	Non vediamo le cose come sono, ma come siamo.	382079	We zien de dingen niet zoals ze zijn, maar zoals we zelf zijn.	False	False	False	False	True
4418	Mi chiamo Jack.	382082	Ik heet Jack.	False	False	False	False	False
4424	Grazie, è tutto.	375820	Dank je, dat is alles.	False	False	False	False	False
4424	Grazie, è tutto.	377810	Bedankt, dat is alles.	False	False	False	False	False
