it_id	italian	nl_id	dutch
2191639	Sono fantastiche.	9275280	Zij zijn fantastisch.
4567213	Sii discreto.	7550011	Wees discreet.
10046630	Aggiungimi su Facebook se vuoi. Il mio nome là è Ryck Vernaut.	10050561	Voeg me bij Facebook toe, als je wenst. Mijn naam daar is Ryck Vernaut.
6806977	Sei canadese?	9703108	Ben je Canadees?
1280825	Ha un gatto bianco.	1037500	Ze heeft een witte kat.
617639	Ho fatto uno strano sogno la scorsa notte.	381341	Ik heb vreemd gedroomd afgelopen nacht.
3500516	Ho perso un po' di peso.	1033174	Ik heb een beetje gewicht verloren.
3653524	Sono sicuro che Tom penserà a qualcosa.	11576353	Tom zal vast wel iets bedenken.
779388	Devo andare, è tardi!	3986705	Ik moet ervandoor. Het is laat!
5073435	Sono l'ultimo che l'ha visto.	6294833	Ik ben de laatste die hem heeft gezien.
8503548	Parla in francese.	8982923	Spreek Frans!
3564201	Ho un fratellastro.	6047084	Ik heb een halfbroer.
1214827	Sono già le sette.	390004	Het is al zeven uur.
1523450	Vogliamo vedere questi film.	8434578	We willen deze films kijken.
4722467	Vorrei fare una domanda.	384991	Ik wil graag een vraag stellen.
2191433	Sono fuori.	9275155	Ze staan buiten.
8353927	Cerco il mio cane.	8353928	Ik zoek mijn hond.
5181633	Dormire è la migliore meditazione.	5810765	Slaap is de beste meditatie.
990042	Ha paura dei cani.	12799870	Ze is bang voor honden.
2191325	Sono di sopra.	9275090	Ze zitten boven.
8921899	Hanno detto che non l'hanno fatto.	12111379	Zij zeiden dat ze het niet gedaan hadden.
4278067	Ho bevuto il vino.	4278076	Ik heb de wijn gedronken.
2191449	Sono nuovi.	9275169	Ze zijn nieuw.
7478923	Ho dimenticato di dare da mangiare al mio cane.	9076539	Ik vergat mijn hond te voeren.
4461677	Sono Jorge.	645415	Ik ben Jorge.
2974901	È una persona ben informata.	4299770	Hij is een goed geïnformeerd persoon.
3338887	Utilizzare l'inglese per comunicare tra giapponesi e cinesi non è solo ridicolo e inefficace, ma può rivelarsi molto pericoloso.	3832420	Het gebruik van het Engels tussen Japanners en Chinezen is niet alleen belachelijk en nutteloos, maar het kan heel gevaarlijk blijken te zijn.
717837	Vidi un aereo.	3165936	Ik heb een vliegtuig gezien.
9065432	Andarono entrambi alla moschea.	11569229	Ze gingen allebei naar de moskee.
2391733	Raccontami la storia completa.	7668767	Vertel me het hele verhaal.
4637277	Manca di esperienza.	4170787	Hij heeft gebrek aan ervaring.
2181340	È una cantante.	2657407	Zij is zangeres.
4737847	Vendo ombrelli.	7460004	Ik verkoop paraplu's.
5362630	Ho bisogno di un aiutino.	7460139	Ik heb een beetje hulp nodig.
3561144	Prometto.	7898776	Ik beloof het.
374247	Hai una macchina fotografica?	685824	Hebt ge een fototoestel?
1455652	Sono un monaco.	1478415	Ik ben een monnik.
2394518	Vengo dall'Egitto.	568350	Ik kom uit Egypte.
4741906	Aspetterai.	8775729	Je zult wachten.
1663958	Sono Anthony.	8757545	Ik ben Anthony.
5441971	Ero timido.	6807447	Ik was verlegen.
5709778	Sono sorelle.	9051822	Het zijn zusters.
3838925	Sono il fratello maggiore di Tom.	5843944	Ik ben Toms oudste broer.
2594146	È il mio insegnante.	8130208	Hij is mijn leraar.
627118	Sono restato a casa tutto il giorno.	605388	Ik ben de hele dag thuis gebleven.
3314718	Ho bisogno di un cacciavite.	7328136	Ik heb een schroevendraaier nodig.
2968137	È caduta a pezzi.	3524211	Het barstte in stukken.
6442440	Mentiamo tutte.	7990417	We liegen allemaal.
5221550	Ero molto fiero.	6712366	Ik was erg trots.
916302	Ama il caffè.	7527347	U houdt van koffie.
1554143	Sono un cittadino del mondo.	879252	Ik ben een wereldburger.
2773751	Sono arrivata a Kobe verso le due e mezza.	8496098	Ik ben rond half drie in Kobe aangekomen.
3758418	Mangio un'arancia arancione.	9284008	Ik eet een oranje sinaasappel.
3669219	Sono noiosa.	3669226	Ik ben saai.
2478297	Abbiamo tutte paura.	12342129	We zijn allemaal bang.
2388520	Era a corto di idee.	5147941	Hij zat zonder ideeën.
2580251	Potrei votare per Tom.	8157261	Misschien stem ik op Tom.
3060384	Sono un'orfana.	8671873	Ik ben een wees.
1850522	Sei cambiato così tanto che riesco a malapena a riconoscerti.	2805028	Je bent zo veranderd dat ik je bijna niet kan herkennen.
2191403	Sono simili.	9275130	Ze lijken op elkaar.
12655939	Sono le dieci e mezza.	12655935	Het is half elf.
3242373	È il posto ideale.	5808055	Het is de ideale plek.
9035597	Volevo vivere a Parigi.	9435808	Ik wilde in Parijs wonen.
399093	Sto traducendo.	399194	Ik ben aan het vertalen.
6750960	Arrivederci, Anna!	7344289	Tot ziens, Anna!
376629	Abbiamo trovato una tartaruga in giardino.	7825036	We vonden een schildpad in de tuin.
5577246	Ho già dimenticato il viso di mia nonna.	2516883	Ik ben het gezicht van mijn grootmoeder al vergeten.
375633	Hai molti soldi con te?	384002	Heb je veel geld bij je?
3195082	È già tardi.	415082	Het is al laat.
917365	Raggruppò le ragazze in tre file.	846468	Hij groepeerde de meisjes in drie rijen.
8650038	Dice che può predire il futuro.	11044467	Ze zegt dat ze de toekomst kan voorspellen.
382390	Vuoi qualcosa da bere?	384493	Wil je iets drinken?
4879040	È quello che le ha detto Tom?	12489111	Heeft Tom haar dat verteld?
377196	Vive con i suoi genitori.	655291	Hij woont bij zijn ouders.
379759	Ha scritto un libro sulla Cina.	813636	Hij heeft een boek over China geschreven.
996112	Ho una domanda stupida.	608899	Ik heb een domme vraag.
12581751	Sei mia figlia.	3162474	Je bent mijn dochter.
5054579	Essere onesti non è facile.	7759389	Eerlijk zijn is moeilijk.
