italian	dutch
Ho comprato un panino al prosciutto.	Ik heb een broodje met ham gekocht.
Guarda quel gattino, è così carino!	Kijk naar dat katje, het is zo schattig!
Quel libretto è davvero interessante.	Dat boekje is echt interessant.
Ho visto un omone enorme al mercato.	Ik heb een enorme man op de markt gezien.
Questo cagnolino è adorabile.	Dit hondje is schattig.
Il vecchietto cammina lentamente.	Het oude mannetje loopt langzaam.
Questo vestitino è perfetto per l'estate.	Dit jurkje is perfect voor de zomer.
Hai visto il filmone al cinema?	Heb je de geweldige film in de bioscoop gezien?
Il porticino era aperto.	Het kleine deurtje stond open.
Quel ragazzaccio è sempre nei guai.	Die schoffie is altijd in de problemen.
Abbiamo preso un appartamentino carino.	We hebben een leuk klein appartementje genomen.
Quel giocattolino è rotto.	Dat speeltje is kapot.
Questo alberone è bellissimo in primavera.	Deze grote boom is prachtig in de lente.
Hai visto quella macchinina rossa?	Heb je dat rode autootje gezien?
Il topolino correva nella stanza.	Het muisje rende door de kamer.
La ragazzina è molto intelligente.	Het meisje is erg intelligent.
Ha fatto un lavoraccio, ma è finito!	Hij heeft een rotklus gedaan, maar het is klaar!
Questo stanzino è troppo piccolo per noi.	Dit kamertje is te klein voor ons.
Quel negozietto ha cose interessanti.	Dat winkeltje heeft interessante dingen.
Il gattone dorme sul divano tutto il giorno.	De grote kat slaapt de hele dag op de bank.
Quel fiumicello è davvero pittoresco.	Dat beekje is echt schilderachtig.
Il bambinello dorme nella culla.	Het babytje slaapt in de wieg.
Hai visto quel casone sulla collina?	Heb je dat grote huis op de heuvel gezien?
Questo dolcetto è delizioso.	Dit snoepje is heerlijk.
La donnina parla con tutti al mercato.	Het vrouwtje praat met iedereen op de markt.
Ho comprato un anellino d’oro.	Ik heb een gouden ringetje gekocht.
Quel ragazzino è davvero educato.	Dat jongetje is echt beleefd.
Hai preparato una zuppona per cena?	Heb je een grote soep voor het avondeten gemaakt?
Il boschetto vicino al lago è incantevole.	Het bosje naast het meer is betoverend.
Il ponticello è molto vecchio.	Het bruggetje is erg oud.
Quel librone pesa un sacco!	Dat grote boek weegt veel!
Questo occhialino è perfetto per leggere.	Deze kleine bril is perfect om te lezen.
La fontanella nel giardino è rotta.	Het fonteintje in de tuin is kapot.
Hai visto quel paesino in montagna?	Heb je dat kleine dorpje in de bergen gezien?
Ho trovato un pesciolino nel fiume.	Ik heb een visje in de rivier gevonden.
Questo cappottino è adatto per l’inverno.	Deze jas is geschikt voor de winter.
La stanzona era piena di gente.	De grote kamer was vol met mensen.
Ho ricevuto un pacchettino da mia zia.	Ik heb een pakje van mijn tante ontvangen.
Quel fiorellino è così fragile.	Dat bloemetje is zo fragiel.
Il mare oggi è un po’ mosso, ma splendido.	De zee is vandaag een beetje ruw, maar prachtig.
Il mio fratellino è andato a scuola.	Mijn broertje is naar school gegaan.
Questo cavallino è molto veloce.	Dit paardje is erg snel.
Ho visto un uccellino sul ramo.	Ik heb een vogeltje op de tak gezien.
La finestrella era aperta.	Het kleine raampje stond open.
Abbiamo giocato in un campetto di calcio.	We hebben op een klein voetbalveldje gespeeld.
Hai preparato una tortona per la festa?	Heb je een grote taart voor het feest gemaakt?
Il poverino è caduto dalla bicicletta.	Het arme mannetje is van de fiets gevallen.
Quel ragazzino ha un cuore gentile.	Dat jongetje heeft een vriendelijk hart.
Il caminetto scoppiettava nella stanza.	De open haard knetterde in de kamer.
Questo fiorellone cresce molto velocemente.	Deze grote bloem groeit erg snel.
Ho trovato un sassolino sulla spiaggia.	Ik heb een steentje op het strand gevonden.
Il trenino è pronto per partire.	Het treintje staat klaar om te vertrekken.
Questo cucchiaio è troppo piccolo, sembra un cucchiaino.	Deze lepel is te klein, het lijkt een lepeltje.
Quel disegnino sul muro è molto carino.	Die tekening op de muur is erg schattig.
Ho visto un cagnone al parco.	Ik heb een grote hond in het park gezien.
Il soldatino è caduto sul pavimento.	Het soldaatje is op de vloer gevallen.
Quel cavallone al galoppo era bellissimo.	Dat grote paard in galop was prachtig.
Hai visto il palloncino che vola?	Heb je de ballon zien vliegen?
La casetta nel bosco sembra magica.	Het huisje in het bos lijkt magisch.
Il maialino gioca nel fango.	Het varkentje speelt in de modder.
Il mio cuginetto ama i giocattoli.	Mijn neefje houdt van speelgoed.
Abbiamo trovato un posticino tranquillo.	We hebben een rustig plekje gevonden.
Quel bambinone mangia tanto!	Dat grote jongetje eet veel!
Ho preparato un caffettino per te.	Ik heb een klein kopje koffie voor je gemaakt.
La donnaccia è molto antipatica.	De vervelende vrouw is erg onaardig.
Questa camicetta ti sta benissimo.	Dit bloesje staat je geweldig.
Il pesciolone è saltato fuori dall’acqua.	De grote vis sprong uit het water.
Il viottolo porta al villaggio.	Het smalle paadje leidt naar het dorp.
Quel pasticcino è irresistibile.	Dat gebakje is onweerstaanbaar.
Abbiamo visto un orsetto nello zoo.	We hebben een beertje in de dierentuin gezien.
Questo maglione è molto caldo.	Deze grote trui is erg warm.
Il topolone ha rubato del formaggio.	De grote muis heeft kaas gestolen.
Hai trovato quel cappellino che cercavi?	Heb je dat hoedje gevonden dat je zocht?
Quella scatoletta contiene biscotti.	Dat kleine doosje bevat koekjes.
Il fiumone è in piena dopo le piogge.	De grote rivier is vol na de regen.
Ho dipinto un quadretto per la cucina.	Ik heb een schilderijtje voor de keuken gemaakt.
Quel porcello è davvero sporco.	Dat varkentje is echt vies.
Abbiamo preso una birretta insieme.	We hebben samen een biertje gedronken.
Questa letterina è per Babbo Natale.	Deze briefje is voor de Kerstman.
La donnina anziana cammina nel parco.	Het oude vrouwtje loopt in het park.
Il mio micino dorme sulla poltrona.	Mijn poesje slaapt op de stoel.
Abbiamo trovato una casettina vicino al lago.	We hebben een klein huisje bij het meer gevonden.
Quel libraccio è pieno di errori.	Dat slechte boek staat vol fouten.
Ho comprato un motorino usato.	Ik heb een tweedehands brommertje gekocht.
Il mare oggi è come uno specchietto.	De zee is vandaag zo glad als een spiegeltje.
Quel canarino canta tutto il giorno.	Die kanarie zingt de hele dag.
Ho fatto un regalino per il tuo compleanno.	Ik heb een cadeautje voor je verjaardag gemaakt.
Abbiamo attraversato un ponticello di legno.	We zijn een houten bruggetje overgestoken.
Quel cannone faceva un rumore fortissimo.	Dat grote kanon maakte een heel hard geluid.
Il mio nonnino racconta sempre storie interessanti.	Mijn opa vertelt altijd interessante verhalen.
Ho visto un topolino correre sotto il tavolo.	Ik zag een muisje onder de tafel rennen.
Questo zuccherino è per te.	Dit suikerklontje is voor jou.
Quel tavolone è difficile da spostare.	Die grote tafel is moeilijk te verplaatsen.
La borsetta è nuova e molto elegante.	Het tasje is nieuw en erg elegant.
Ho preparato un panettone per Natale.	Ik heb een kerstcake gemaakt.
Il ragazzone gioca nella squadra locale.	De grote jongen speelt in het lokale team.
Questo alberello è stato piantato ieri.	Dit boompje is gisteren geplant.
Abbiamo trovato un angolino tranquillo per parlare.	We hebben een rustig hoekje gevonden om te praten.
Quel bicchierino è troppo piccolo per il vino.	Dat glaasje is te klein voor de wijn.
Il pappagallino impara a parlare.	Het papegaaitje leert praten.
Quel bambinello è molto curioso.	Dat kleine jongetje is erg nieuwsgierig.
Abbiamo preso una stanzetta per il weekend.	We hebben een kamertje voor het weekend genomen.
La fontanella del parco non funziona.	Het fonteintje in het park werkt niet.
Questo cestino è pieno di frutta.	Dit mandje zit vol fruit.
Ho letto un articoletto interessante.	Ik heb een interessant artikeltje gelezen.
Il monticello è coperto di neve.	Het heuveltje is bedekt met sneeuw.
Quel capannone è usato come magazzino.	Die grote loods wordt als magazijn gebruikt.
Ho trovato un sassolino bianco sulla strada.	Ik heb een wit steentje op de weg gevonden.
Il pesciolino nuota felice nell’acquario.	Het visje zwemt vrolijk in het aquarium.
Quel fiorellino è così delicato.	Dat bloemetje is zo fragiel.
La vecchietta racconta storie del passato.	Het oude vrouwtje vertelt verhalen uit het verleden.
Quel giornalino è per bambini.	Dat krantje is voor kinderen.
Il lettino è perfetto per il bambino.	Het bedje is perfect voor de baby.
