italian	dutch
Non ho mai visto niente di simile.	Ik heb nooit iets dergelijks gezien.
Non capisco niente di quello che stai dicendo.	Ik begrijp niets van wat je zegt.
Non faccio mai nulla senza pensarci prima.	Ik doe nooit iets zonder er eerst over na te denken.
Non c'è niente che possa fermarci.	Er is niets dat ons kan stoppen.
Non voglio vedere mai più nessuno di loro.	Ik wil nooit meer iemand van hen zien.
Non ho mai detto niente di simile.	Ik heb nooit zoiets gezegd.
Non ci sarà nessuno al lavoro domani.	Er zal morgen niemand op het werk zijn.
Non ho mai avuto niente di così bello.	Ik heb nooit iets zo moois gehad.
Non possiamo più fare nulla per aiutarti.	We kunnen niets meer doen om je te helpen.
Non voglio sapere niente di questa storia.	Ik wil niets weten van dit verhaal.
Non siamo mai stati in nessun posto così tranquillo.	We zijn nooit op een rustigere plek geweest.
Non c'è nessuno che sappia fare questo lavoro.	Er is niemand die dit werk kan doen.
Non ho mai ricevuto niente da nessuno.	Ik heb nooit iets van iemand gekregen.
Non ho visto nessuno durante il tragitto.	Ik heb niemand gezien onderweg.
Non c'è mai stato niente di più difficile.	Er is nooit iets moeilijkers geweest.
Non ho mai conosciuto nessuno come te.	Ik heb nooit iemand zoals jij ontmoet.
Non mi interessa più sapere nulla su di loro.	Ik ben niet meer geïnteresseerd om iets over hen te weten.
Non c'è niente che mi possa far cambiare idea.	Er is niets dat mij van gedachten kan veranderen.
Non c'è niente di cui preoccuparsi.	Er is niets om je zorgen over te maken.
